ら戳,丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
2019/4/25,09:00:00,45.1,45.3,45.1,45.15,1469
2019/4/25,09:15:00,45.1,45.25,45.1,45.2,478
2019/4/25,09:30:00,45.2,45.25,45.15,45.2,441
2019/4/25,09:45:00,45.15,45.2,45.1,45.15,488
2019/4/25,10:00:00,45.15,45.15,45.1,45.15,1057
2019/4/25,10:15:00,45.15,45.2,45.15,45.2,202
2019/4/25,10:30:00,45.2,45.2,45.15,45.2,285
2019/4/25,10:45:00,45.15,45.2,45.15,45.2,228
2019/4/25,11:00:00,45.2,45.2,45.15,45.15,439
2019/4/25,11:15:00,45.15,45.2,45.15,45.2,485
2019/4/25,11:30:00,45.15,45.2,45.15,45.15,488
2019/4/25,11:45:00,45.15,45.2,45.15,45.15,403
2019/4/25,12:00:00,45.2,45.25,45.1,45.25,1024
2019/4/25,12:15:00,45.2,45.25,45.2,45.25,46
2019/4/25,12:30:00,45.25,45.25,45.2,45.25,161
2019/4/25,12:45:00,45.2,45.25,45.2,45.25,348
2019/4/25,13:00:00,45.2,45.25,45.2,45.2,419
2019/4/25,13:15:00,45.2,45.25,45.2,45.2,2464
2019/4/26,09:00:00,45.05,45.25,45.05,45.15,589
2019/4/26,09:15:00,45.15,45.25,45.1,45.15,250
2019/4/26,09:30:00,45.15,45.2,45.15,45.2,159
2019/4/26,09:45:00,45.2,45.3,45.15,45.25,267
2019/4/26,10:00:00,45.25,45.25,45.2,45.2,161
2019/4/26,10:15:00,45.25,45.25,45.2,45.25,81
2019/4/26,10:30:00,45.25,45.25,45.2,45.25,215
2019/4/26,10:45:00,45.25,45.25,45.2,45.25,119
2019/4/26,11:00:00,45.2,45.25,45.2,45.25,95
2019/4/26,11:15:00,45.25,45.25,45.2,45.25,156
2019/4/26,11:30:00,45.2,45.25,45.2,45.25,301
2019/4/26,11:45:00,45.25,45.25,45.2,45.25,136
2019/4/26,12:00:00,45.25,45.25,45.2,45.25,121
2019/4/26,12:15:00,45.25,45.25,45.2,45.25,255
2019/4/26,12:30:00,45.25,45.25,45.2,45.25,377
2019/4/26,12:45:00,45.25,45.25,45.2,45.2,135
2019/4/26,13:00:00,45.2,45.3,45.2,45.3,749
2019/4/26,13:15:00,45.25,45.5,45.25,45.5,2753
2019/4/29,09:00:00,45.5,45.65,45.45,45.6,1725
2019/4/29,09:15:00,45.6,45.8,45.6,45.75,1359
2019/4/29,09:30:00,45.7,45.75,45.6,45.7,844
2019/4/29,09:45:00,45.7,45.7,45.6,45.65,603
2019/4/29,10:00:00,45.65,45.7,45.6,45.6,427
2019/4/29,10:15:00,45.65,45.7,45.6,45.65,408
2019/4/29,10:30:00,45.65,45.65,45.6,45.6,281
2019/4/29,10:45:00,45.6,45.6,45.55,45.6,96
2019/4/29,11:00:00,45.6,45.65,45.55,45.65,348
2019/4/29,11:15:00,45.65,45.65,45.55,45.6,216
2019/4/29,11:30:00,45.6,45.6,45.55,45.55,72
2019/4/29,11:45:00,45.55,45.6,45.55,45.6,113
2019/4/29,12:00:00,45.6,45.6,45.55,45.6,191
2019/4/29,12:15:00,45.6,45.6,45.55,45.6,82
2019/4/29,12:30:00,45.55,45.6,45.55,45.55,171
2019/4/29,12:45:00,45.55,45.6,45.55,45.6,426
2019/4/29,13:00:00,45.55,45.65,45.55,45.6,354
2019/4/29,13:15:00,45.6,45.7,45.6,45.7,1654
2019/4/30,09:00:00,45.75,45.8,45.7,45.75,590
2019/4/30,09:15:00,45.75,45.75,45.65,45.65,544
2019/4/30,09:30:00,45.7,45.7,45.65,45.7,198
2019/4/30,09:45:00,45.65,45.65,45.55,45.6,218
2019/4/30,10:00:00,45.55,45.6,45.5,45.55,324
2019/4/30,10:15:00,45.5,45.55,45.45,45.5,296
2019/4/30,10:30:00,45.45,45.55,45.45,45.55,287
2019/4/30,10:45:00,45.55,45.65,45.5,45.65,270
2019/4/30,11:00:00,45.6,45.65,45.5,45.65,172
2019/4/30,11:15:00,45.6,45.6,45.55,45.55,175
2019/4/30,11:30:00,45.55,45.6,45.5,45.55,188
2019/4/30,11:45:00,45.5,45.55,45.5,45.5,325
2019/4/30,12:00:00,45.5,45.5,45.45,45.45,254
2019/4/30,12:15:00,45.45,45.5,45.45,45.5,259
2019/4/30,12:30:00,45.45,45.7,45.45,45.7,646
2019/4/30,12:45:00,45.65,45.75,45.65,45.75,464
2019/4/30,13:00:00,45.75,45.8,45.7,45.75,676
2019/4/30,13:15:00,45.8,45.9,45.6,45.6,5635
2019/5/2,09:00:00,45.6,45.7,45.6,45.65,612
2019/5/2,09:15:00,45.7,46.05,45.65,46.05,1908
2019/5/2,09:30:00,46,46.05,45.95,46,743
2019/5/2,09:45:00,46,46.05,45.95,46.05,1239
2019/5/2,10:00:00,46,46.05,45.95,46.05,710
2019/5/2,10:15:00,46,46.1,46,46.05,823
2019/5/2,10:30:00,46.05,46.1,46.05,46.05,488
2019/5/2,10:45:00,46.05,46.1,46.05,46.05,295
2019/5/2,11:00:00,46.05,46.1,46,46.05,600
2019/5/2,11:15:00,46.05,46.1,46,46.05,604
2019/5/2,11:30:00,46.05,46.15,46.05,46.15,1014
2019/5/2,11:45:00,46.1,46.2,46.1,46.2,1337
2019/5/2,12:00:00,46.2,46.3,46.15,46.3,710
2019/5/2,12:15:00,46.25,46.35,46.25,46.3,1144
2019/5/2,12:30:00,46.3,46.4,46.3,46.4,663
2019/5/2,12:45:00,46.4,46.4,46.35,46.4,593
2019/5/2,13:00:00,46.4,46.4,46.35,46.4,1034
2019/5/2,13:15:00,46.4,46.4,46.35,46.4,1649
2019/5/3,09:00:00,46.4,46.4,46.1,46.15,1366
2019/5/3,09:15:00,46.15,46.2,46.1,46.15,648
2019/5/3,09:30:00,46.15,46.2,46.1,46.15,507
2019/5/3,09:45:00,46.15,46.15,46.1,46.15,429
2019/5/3,10:00:00,46.15,46.2,46.1,46.15,897
2019/5/3,10:15:00,46.15,46.2,46.15,46.2,326
2019/5/3,10:30:00,46.2,46.25,46.15,46.25,648
2019/5/3,10:45:00,46.25,46.3,46.25,46.3,526
2019/5/3,11:00:00,46.25,46.3,46.25,46.25,253
2019/5/3,11:15:00,46.3,46.3,46.15,46.2,841
2019/5/3,11:30:00,46.2,46.2,46.15,46.2,336
2019/5/3,11:45:00,46.2,46.2,46.1,46.15,543
2019/5/3,12:00:00,46.15,46.15,46.1,46.15,520
2019/5/3,12:15:00,46.15,46.2,46.15,46.15,324
2019/5/3,12:30:00,46.15,46.2,46.15,46.15,299
2019/5/3,12:45:00,46.15,46.3,46.15,46.2,987
2019/5/3,13:00:00,46.25,46.25,46.15,46.2,1092
2019/5/3,13:15:00,46.2,46.25,46.15,46.15,1298
2019/5/6,09:00:00,45.7,45.75,45.55,45.65,2795
2019/5/6,09:15:00,45.65,45.85,45.6,45.8,1486
2019/5/6,09:30:00,45.85,45.85,45.75,45.8,978
2019/5/6,09:45:00,45.85,45.85,45.75,45.8,1168
2019/5/6,10:00:00,45.8,45.8,45.75,45.75,342
2019/5/6,10:15:00,45.75,45.8,45.7,45.75,633
2019/5/6,10:30:00,45.7,45.75,45.55,45.55,1423
2019/5/6,10:45:00,45.55,45.6,45.4,45.45,1274
2019/5/6,11:00:00,45.45,45.55,45.4,45.5,506
2019/5/6,11:15:00,45.55,45.55,45.4,45.55,794
2019/5/6,11:30:00,45.55,45.6,45.5,45.55,562
2019/5/6,11:45:00,45.55,45.55,45.5,45.5,274
2019/5/6,12:00:00,45.5,45.55,45.5,45.55,226
2019/5/6,12:15:00,45.55,45.55,45.5,45.55,466
2019/5/6,12:30:00,45.5,45.6,45.5,45.6,346
2019/5/6,12:45:00,45.6,45.6,45.55,45.6,511
2019/5/6,13:00:00,45.6,45.7,45.6,45.6,822
2019/5/6,13:15:00,45.65,45.7,45.6,45.6,1298
2019/5/7,09:00:00,45.5,45.6,45.4,45.45,1560
2019/5/7,09:15:00,45.5,45.55,45.45,45.55,539
2019/5/7,09:30:00,45.55,45.55,45.5,45.5,197
2019/5/7,09:45:00,45.5,45.55,45.5,45.5,386
2019/5/7,10:00:00,45.5,45.6,45.5,45.6,832
2019/5/7,10:15:00,45.65,45.65,45.6,45.65,356
2019/5/7,10:30:00,45.65,45.65,45.55,45.6,465
2019/5/7,10:45:00,45.6,45.65,45.6,45.6,510
2019/5/7,11:00:00,45.65,45.65,45.6,45.65,129
2019/5/7,11:15:00,45.6,45.65,45.6,45.6,285
2019/5/7,11:30:00,45.6,45.6,45.55,45.55,651
2019/5/7,11:45:00,45.55,45.6,45.5,45.5,717
2019/5/7,12:00:00,45.55,45.55,45.5,45.5,285
2019/5/7,12:15:00,45.5,45.55,45.5,45.55,329
2019/5/7,12:30:00,45.5,45.55,45.5,45.55,246
2019/5/7,12:45:00,45.55,45.55,45.5,45.5,500
