ら戳,丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
2019/4/24,09:00:00,89,89.1,88.3,88.5,10087
2019/4/24,09:15:00,88.4,88.6,88,88.1,3433
2019/4/24,09:30:00,88.1,88.5,87.8,88.1,4643
2019/4/24,09:45:00,88.1,88.1,87.7,88,2321
2019/4/24,10:00:00,87.9,88.2,87.9,88.2,1299
2019/4/24,10:15:00,88.2,88.3,88,88,898
2019/4/24,10:30:00,88,88.1,87.9,87.9,1394
2019/4/24,10:45:00,87.9,88,87.8,87.8,1114
2019/4/24,11:00:00,87.8,88,87.7,87.7,1327
2019/4/24,11:15:00,87.7,87.8,87.6,87.7,972
2019/4/24,11:30:00,87.6,87.9,87.6,87.8,719
2019/4/24,11:45:00,87.8,87.9,87.3,87.4,1959
2019/4/24,12:00:00,87.4,87.4,87,87.2,2575
2019/4/24,12:15:00,87.2,87.2,87,87.1,1178
2019/4/24,12:30:00,87,87.1,86.8,86.8,3404
2019/4/24,12:45:00,86.9,87,86.6,86.6,3612
2019/4/24,13:00:00,86.6,86.6,86.1,86.3,4946
2019/4/24,13:15:00,86.2,86.9,86.2,86.9,6317
2019/4/25,09:00:00,86,86.5,85.8,86.1,7110
2019/4/25,09:15:00,86.1,86.4,86,86.1,1774
2019/4/25,09:30:00,86.1,86.2,86,86.2,1103
2019/4/25,09:45:00,86.2,86.3,86.1,86.2,1707
2019/4/25,10:00:00,86.2,86.2,86.1,86.2,818
2019/4/25,10:15:00,86.2,86.9,86.1,86.7,4180
2019/4/25,10:30:00,86.7,86.9,86.6,86.7,977
2019/4/25,10:45:00,86.8,86.8,86.7,86.8,533
2019/4/25,11:00:00,86.7,86.9,86.7,86.8,678
2019/4/25,11:15:00,86.8,86.9,86.6,86.6,671
2019/4/25,11:30:00,86.6,86.9,86.5,86.9,1386
2019/4/25,11:45:00,86.9,87.2,86.8,87.1,1898
2019/4/25,12:00:00,87.1,87.2,87,87.2,1041
2019/4/25,12:15:00,87.1,87.2,87,87,766
2019/4/25,12:30:00,87,87.2,86.7,86.8,1964
2019/4/25,12:45:00,86.8,86.9,86.6,86.9,1443
2019/4/25,13:00:00,86.9,87,86.8,86.9,650
2019/4/25,13:15:00,86.9,87.1,86.8,86.8,3243
2019/4/26,09:00:00,87.4,87.8,86.5,87.5,6890
2019/4/26,09:15:00,87.6,87.8,87.5,87.6,2649
2019/4/26,09:30:00,87.6,87.7,87.1,87.1,1701
2019/4/26,09:45:00,87.1,87.3,86.9,87,1434
2019/4/26,10:00:00,87,87.3,87,87.1,794
2019/4/26,10:15:00,87.1,87.3,87.1,87.2,626
2019/4/26,10:30:00,87.2,87.3,87.1,87.2,827
