ら戳,丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
2019/4/25,09:00:00,160,160,158.5,158.5,297
2019/4/25,09:15:00,158.5,159,158.5,158.5,48
2019/4/25,09:30:00,158.5,161,158.5,160.5,340
2019/4/25,09:45:00,160.5,161,160.5,160.5,138
2019/4/25,10:00:00,160.5,161,160,160.5,105
2019/4/25,10:15:00,160.5,160.5,160,160.5,163
2019/4/25,10:30:00,160,160.5,160,160.5,204
2019/4/25,10:45:00,160,161,160,160.5,66
2019/4/25,11:00:00,160.5,161,160.5,160.5,97
2019/4/25,11:15:00,160.5,161,160.5,160.5,127
2019/4/25,11:30:00,161,162,160.5,162,696
2019/4/25,11:45:00,161.5,162,161,162,350
2019/4/25,12:00:00,162.5,162.5,162,162.5,140
2019/4/25,12:15:00,162,162.5,162,162.5,109
2019/4/25,12:30:00,162,162.5,162,162,118
2019/4/25,12:45:00,162.5,162.5,162,162.5,145
2019/4/25,13:00:00,162.5,162.5,162,162.5,307
2019/4/25,13:15:00,162.5,162.5,162,162.5,642
2019/4/26,09:00:00,162,162,160.5,160.5,387
2019/4/26,09:15:00,160.5,161,160,160.5,243
2019/4/26,09:30:00,160,160.5,159,159.5,558
2019/4/26,09:45:00,160,160,159.5,160,69
2019/4/26,10:00:00,159.5,160,159.5,160,211
2019/4/26,10:15:00,160,161,160,161,255
2019/4/26,10:30:00,161,161,160.5,161,166
2019/4/26,10:45:00,161,161,160.5,161,180
2019/4/26,11:00:00,161,161,160.5,160.5,154
2019/4/26,11:15:00,161,161,160.5,161,161
2019/4/26,11:30:00,161,161,160.5,161,191
2019/4/26,11:45:00,161,161,160.5,160.5,202
2019/4/26,12:00:00,161,161,160.5,160.5,144
2019/4/26,12:15:00,160.5,161,160.5,161,150
2019/4/26,12:30:00,161,161,160.5,161,178
2019/4/26,12:45:00,160.5,161,160.5,160.5,174
2019/4/26,13:00:00,161,161,160.5,161,308
2019/4/26,13:15:00,161,161,160,161,808
2019/4/29,09:00:00,160,162,160,162,252
2019/4/29,09:15:00,161.5,162,161.5,162,76
2019/4/29,09:30:00,162,162,160.5,160.5,282
2019/4/29,09:45:00,160.5,161,160,160.5,107
2019/4/29,10:00:00,161,161,160,161,355
2019/4/29,10:15:00,161,161,160.5,160.5,84
2019/4/29,10:30:00,161,161,160.5,160.5,24
2019/4/29,10:45:00,161,161,160.5,160.5,83
2019/4/29,11:00:00,161,161.5,160.5,161.5,174
2019/4/29,11:15:00,161.5,162,161,162,95
2019/4/29,11:30:00,162,162,161,161.5,176
2019/4/29,11:45:00,161.5,162,161,161.5,109
2019/4/29,12:00:00,162,162,161.5,162,116
2019/4/29,12:15:00,162,162,161.5,162,99
2019/4/29,12:30:00,162,162,161.5,162,179
2019/4/29,12:45:00,162,162,161.5,162,150
2019/4/29,13:00:00,162,162,161.5,161.5,184
2019/4/29,13:15:00,161.5,162,161.5,162,521
2019/4/30,09:00:00,160.5,162.5,160.5,162.5,576
2019/4/30,09:15:00,162,162,161.5,161.5,190
2019/4/30,09:30:00,162,162.5,161.5,162,175
2019/4/30,09:45:00,161.5,162,161.5,161.5,81
2019/4/30,10:00:00,161.5,162,161,161.5,234
2019/4/30,10:15:00,161,161.5,160,161,225
2019/4/30,10:30:00,161,161.5,160.5,161.5,251
2019/4/30,10:45:00,161.5,162.5,161.5,162,371
2019/4/30,11:00:00,162,162,161,161.5,120
2019/4/30,11:15:00,161,161.5,161,161.5,83
2019/4/30,11:30:00,161.5,161.5,161,161.5,111
2019/4/30,11:45:00,161,161.5,161,161.5,122
2019/4/30,12:00:00,161.5,161.5,161,161,99
2019/4/30,12:15:00,161.5,162,161,162,304
2019/4/30,12:30:00,162,162,161,161.5,160
2019/4/30,12:45:00,161,161.5,161,161,153
2019/4/30,13:00:00,161,161.5,161,161.5,187
2019/4/30,13:15:00,161.5,162.5,161.5,162.5,1230
2019/5/2,09:00:00,161.5,161.5,159,159,1062
2019/5/2,09:15:00,159.5,160,159,159.5,636
2019/5/2,09:30:00,159.5,159.5,159,159,358
2019/5/2,09:45:00,159,159,158,159,1435
2019/5/2,10:00:00,159,159.5,158.5,159,98
2019/5/2,10:15:00,158.5,159,158.5,159,90
2019/5/2,10:30:00,159,159,158.5,159,82
2019/5/2,10:45:00,158.5,159.5,158.5,159.5,116
2019/5/2,11:00:00,159,159.5,159,159,82
2019/5/2,11:15:00,159,159.5,159,159.5,131
2019/5/2,11:30:00,159.5,159.5,159,159.5,84
2019/5/2,11:45:00,159,160,159,160,149
2019/5/2,12:00:00,160,160,159.5,159.5,122
2019/5/2,12:15:00,159.5,160,159.5,159.5,223
2019/5/2,12:30:00,159.5,160,159.5,159.5,151
2019/5/2,12:45:00,159.5,160,159.5,159.5,145
2019/5/2,13:00:00,159.5,160,159.5,159.5,412
2019/5/2,13:15:00,159.5,160,159.5,159.5,632
2019/5/3,09:00:00,160,160.5,158,160.5,802
2019/5/3,09:15:00,160,160.5,159.5,160,404
2019/5/3,09:30:00,160,161,159.5,159.5,909
2019/5/3,09:45:00,159.5,160,159.5,159.5,52
2019/5/3,10:00:00,159.5,160.5,159.5,159.5,663
2019/5/3,10:15:00,159.5,160,159.5,160,59
2019/5/3,10:30:00,160,160,159,159,328
2019/5/3,10:45:00,159.5,159.5,159,159,249
2019/5/3,11:00:00,159.5,160,159,159.5,445
2019/5/3,11:15:00,160,160,159.5,159.5,103
2019/5/3,11:30:00,160,160,159.5,159.5,124
2019/5/3,11:45:00,160,160.5,159.5,160,567
2019/5/3,12:00:00,160.5,161,160,160.5,506
2019/5/3,12:15:00,160,160.5,160,160.5,49
2019/5/3,12:30:00,160,160.5,160,160.5,138
2019/5/3,12:45:00,160,160.5,160,160,171
2019/5/3,13:00:00,160,161,160,161,1049
2019/5/3,13:15:00,160.5,161,160.5,160.5,1034
2019/5/6,09:00:00,158,158,156,156.5,964
2019/5/6,09:15:00,156.5,156.5,155,156,834
2019/5/6,09:30:00,156,156,154.5,154.5,962
2019/5/6,09:45:00,154.5,154.5,154,154.5,374
2019/5/6,10:00:00,154.5,155,154,154.5,259
2019/5/6,10:15:00,154.5,155,154,154,644
2019/5/6,10:30:00,154,154.5,153,153.5,956
2019/5/6,10:45:00,153.5,153.5,152.5,153,721
2019/5/6,11:00:00,152.5,154,152.5,153.5,326
2019/5/6,11:15:00,154,155,153.5,154.5,361
2019/5/6,11:30:00,154.5,154.5,154,154.5,145
2019/5/6,11:45:00,154,154.5,153.5,154,263
2019/5/6,12:00:00,154,154,153.5,154,185
2019/5/6,12:15:00,154,155,153.5,154,489
2019/5/6,12:30:00,154,154.5,154,154,219
2019/5/6,12:45:00,154.5,154.5,154,154.5,222
2019/5/6,13:00:00,154.5,155,153.5,154,531
2019/5/6,13:15:00,154,154,153.5,153.5,813
2019/5/7,09:00:00,154,156,154,155.5,401
2019/5/7,09:15:00,155.5,155.5,154.5,155,331
2019/5/7,09:30:00,155,155,154,155,306
2019/5/7,09:45:00,155,155.5,155,155.5,689
2019/5/7,10:00:00,155.5,157,155,156.5,808
2019/5/7,10:15:00,156.5,157,156,157,233
2019/5/7,10:30:00,157,157,156,156,444
2019/5/7,10:45:00,156.5,156.5,156,156,123
2019/5/7,11:00:00,156.5,156.5,156,156,177
2019/5/7,11:15:00,156,156.5,156,156,191
2019/5/7,11:30:00,156,156.5,156,156,213
2019/5/7,11:45:00,156,156.5,155.5,156,289
2019/5/7,12:00:00,155.5,156,155.5,156,257
2019/5/7,12:15:00,155.5,156,155.5,156,328
2019/5/7,12:30:00,156,156.5,155.5,156,278
2019/5/7,12:45:00,156,156.5,156,156,112
2019/5/7,13:00:00,156.5,156.5,156,156,163
2019/5/7,13:15:00,156,156.5,155.5,155.5,985
2019/5/8,09:00:00,152.5,154,152,154,647
2019/5/8,09:15:00,154,155,153.5,155,379
2019/5/8,09:30:00,154.5,155.5,154,155.5,202
2019/5/8,09:45:00,155.5,156.5,155.5,156.5,263
2019/5/8,10:00:00,156.5,156.5,155,155.5,217
2019/5/8,10:15:00,155,156,155,156,134
2019/5/8,10:30:00,156,157,155.5,157,356
2019/5/8,10:45:00,157,157.5,157,157,171
2019/5/8,11:00:00,157.5,157.5,157,157,77
2019/5/8,11:15:00,157.5,157.5,157,157.5,80
2019/5/8,11:30:00,157,157.5,155,155,322
2019/5/8,11:45:00,155.5,156,155,155.5,205
2019/5/8,12:00:00,155,155.5,154.5,155,217
2019/5/8,12:15:00,155,155.5,154.5,155,272
2019/5/8,12:30:00,154.5,155,154.5,155,164
2019/5/8,12:45:00,154.5,155,154,154.5,266
2019/5/8,13:00:00,155,155.5,154.5,155.5,298
2019/5/8,13:15:00,155.5,156,155,155.5,444
2019/5/9,09:00:00,154,154.5,153.5,153.5,689
2019/5/9,09:15:00,153.5,154,152.5,153,708
2019/5/9,09:30:00,153,153.5,152.5,152.5,450
2019/5/9,09:45:00,153,153,152,152,506
2019/5/9,10:00:00,152,152.5,151.5,151.5,720
2019/5/9,10:15:00,151.5,152,150,151,910
2019/5/9,10:30:00,150.5,151.5,150.5,151.5,307
2019/5/9,10:45:00,151.5,151.5,151,151,181
2019/5/9,11:00:00,151.5,151.5,151,151,294
2019/5/9,11:15:00,151,151.5,150.5,150.5,274
2019/5/9,11:30:00,150.5,151,150.5,150.5,252
2019/5/9,11:45:00,150.5,152,150.5,151.5,469
2019/5/9,12:00:00,151.5,151.5,151,151,212
2019/5/9,12:15:00,151,151.5,151,151.5,200
2019/5/9,12:30:00,151,151.5,150.5,151,614
2019/5/9,12:45:00,151,151.5,151,151.5,218
2019/5/9,13:00:00,152,152,151,151.5,304
2019/5/9,13:15:00,151.5,152,151,151,797
2019/5/10,09:00:00,151,152.5,151,152,423
2019/5/10,09:15:00,152,152,150,151,1093
2019/5/10,09:30:00,151,152,150.5,152,394
2019/5/10,09:45:00,152,152,151.5,152,227
2019/5/10,10:00:00,152,152,151,151.5,266
2019/5/10,10:15:00,151.5,151.5,151,151,88
2019/5/10,10:30:00,151.5,151.5,151,151.5,106
2019/5/10,10:45:00,151.5,151.5,150.5,150.5,235
2019/5/10,11:00:00,150.5,151,149,150,664
2019/5/10,11:15:00,150,150.5,149,150.5,600
2019/5/10,11:30:00,150,150.5,149,149.5,232
2019/5/10,11:45:00,149.5,150,149.5,150,202
2019/5/10,12:00:00,150,150,149.5,150,271
2019/5/10,12:15:00,149.5,150,149,150,294
2019/5/10,12:30:00,150,150,149,150,301
2019/5/10,12:45:00,150,150,149.5,150,275
2019/5/10,13:00:00,150,150.5,149.5,150.5,344
2019/5/10,13:15:00,150,151,150,150.5,656
2019/5/13,09:00:00,150.5,151,149,150.5,241
2019/5/13,09:15:00,150.5,151,150.5,151,72
2019/5/13,09:30:00,150.5,151,150,150.5,102
2019/5/13,09:45:00,150,151,150,150.5,158
2019/5/13,10:00:00,150.5,151,150,150.5,102
2019/5/13,10:15:00,150.5,150.5,150,150.5,77
2019/5/13,10:30:00,150.5,150.5,150,150.5,94
2019/5/13,10:45:00,150.5,150.5,150,150.5,131
2019/5/13,11:00:00,150.5,150.5,150,150,142
2019/5/13,11:15:00,150,150.5,149,149.5,286
2019/5/13,11:30:00,149.5,150,149,149.5,171
2019/5/13,11:45:00,149.5,150,149.5,150,80
2019/5/13,12:00:00,149.5,150,149.5,150,69
2019/5/13,12:15:00,149.5,150,149,150,196
2019/5/13,12:30:00,150,150,149.5,150,81
2019/5/13,12:45:00,149.5,150,149.5,149.5,215
2019/5/13,13:00:00,149.5,150,149.5,149.5,151
2019/5/13,13:15:00,149.5,150,149.5,150,498
2019/5/14,09:00:00,148,148,145.5,146,1808
2019/5/14,09:15:00,146,148,146,148,1033
2019/5/14,09:30:00,148,148,147.5,148,488
2019/5/14,09:45:00,147.5,149,147.5,148.5,675
2019/5/14,10:00:00,149,149,148,148.5,415
2019/5/14,10:15:00,148.5,150,148,149.5,648
2019/5/14,10:30:00,149.5,149.5,149,149.5,115
2019/5/14,10:45:00,149.5,149.5,149,149.5,139
2019/5/14,11:00:00,149.5,149.5,149,149.5,162
2019/5/14,11:15:00,149.5,149.5,149,149.5,141
2019/5/14,11:30:00,149.5,150.5,149,150.5,450
2019/5/14,11:45:00,150.5,150.5,149.5,150.5,371
2019/5/14,12:00:00,150,150.5,150,150.5,82
2019/5/14,12:15:00,150,150.5,150,150.5,123
2019/5/14,12:30:00,150.5,150.5,150,150.5,165
2019/5/14,12:45:00,150.5,150.5,150,150.5,147
2019/5/14,13:00:00,150.5,150.5,149,149,592
2019/5/14,13:15:00,149.5,149.5,148.5,149,1123
2019/5/15,09:00:00,149,150.5,149,149.5,714
2019/5/15,09:15:00,149.5,150,149,150,169
2019/5/15,09:30:00,150,150,149.5,149.5,53
2019/5/15,09:45:00,150,150,149,149,208
2019/5/15,10:00:00,149,149.5,148,148.5,462
2019/5/15,10:15:00,148.5,149,148.5,149,77
2019/5/15,10:30:00,149,149.5,148.5,149.5,178
2019/5/15,10:45:00,149.5,149.5,149,149,43
2019/5/15,11:00:00,149.5,149.5,149,149.5,55
2019/5/15,11:15:00,149,149.5,149,149,98
2019/5/15,11:30:00,149,149,148.5,148.5,389
2019/5/15,11:45:00,149,149,148.5,149,130
2019/5/15,12:00:00,149,149,148.5,148.5,109
2019/5/15,12:15:00,148.5,149,148.5,148.5,76
2019/5/15,12:30:00,149,149,148.5,149,118
2019/5/15,12:45:00,148.5,149,148.5,149,137
2019/5/15,13:00:00,148.5,149,148,148,577
2019/5/15,13:15:00,148,148.5,147.5,147.5,1234
2019/5/16,09:00:00,147.5,148,146.5,147.5,584
2019/5/16,09:15:00,147,147.5,146.5,147.5,254
2019/5/16,09:30:00,147,148,147,147.5,210
2019/5/16,09:45:00,147.5,148.5,147,147,491
2019/5/16,10:00:00,147.5,147.5,146.5,147,197
2019/5/16,10:15:00,146.5,147.5,146.5,147,92
2019/5/16,10:30:00,147,147.5,147,147,70
2019/5/16,10:45:00,147.5,147.5,147,147,155
2019/5/16,11:00:00,147,147.5,146.5,146.5,176
2019/5/16,11:15:00,146.5,147,146,146,260
2019/5/16,11:30:00,146,146.5,146,146,169
2019/5/16,11:45:00,146.5,146.5,146,146.5,247
2019/5/16,12:00:00,146,146,145.5,145.5,380
2019/5/16,12:15:00,145.5,146,145.5,145.5,117
2019/5/16,12:30:00,146,146,145.5,146,142
2019/5/16,12:45:00,145.5,146,145,145,332
2019/5/16,13:00:00,145.5,145.5,144.5,144.5,925
2019/5/16,13:15:00,145,145,144,144,1240
2019/5/17,09:00:00,147,148,145.5,146.5,475
2019/5/17,09:15:00,146.5,146.5,145.5,145.5,261
2019/5/17,09:30:00,145.5,145.5,145,145.5,144
2019/5/17,09:45:00,145.5,145.5,144.5,144.5,230
2019/5/17,10:00:00,145,145,144.5,144.5,77
2019/5/17,10:15:00,145,145,144.5,144.5,48
2019/5/17,10:30:00,144.5,145,143.5,143.5,811
2019/5/17,10:45:00,144,144,143,143.5,200
2019/5/17,11:00:00,143.5,144,143,143.5,260
2019/5/17,11:15:00,143.5,144.5,143.5,143.5,475
2019/5/17,11:30:00,143.5,144,143.5,144,59
2019/5/17,11:45:00,144,144,142.5,143,554
2019/5/17,12:00:00,142.5,143.5,142,143,424
2019/5/17,12:15:00,143.5,143.5,143,143,82
2019/5/17,12:30:00,143,143.5,143,143,211
2019/5/17,12:45:00,143,143.5,142.5,143,183
2019/5/17,13:00:00,142.5,143,142,142,541
2019/5/17,13:15:00,142.5,142.5,141.5,142.5,1035
2019/5/20,09:00:00,144,144.5,143.5,144.5,553
2019/5/20,09:15:00,145,145,143.5,143.5,535
2019/5/20,09:30:00,144,144,143.5,143.5,209
2019/5/20,09:45:00,144,144,142.5,142.5,392
2019/5/20,10:00:00,142.5,143.5,142,143.5,322
2019/5/20,10:15:00,143.5,143.5,142,143,248
2019/5/20,10:30:00,143,143.5,142.5,142.5,238
2019/5/20,10:45:00,143,143,142.5,143,178
2019/5/20,11:00:00,142.5,143,142.5,142.5,218
2019/5/20,11:15:00,142.5,143,142,142.5,237
2019/5/20,11:30:00,142,143,142,143,212
