ら戳,丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
2019/4/25,09:00:00,28.65,28.7,28.65,28.7,1294
2019/4/25,09:15:00,28.65,28.7,28.65,28.65,576
2019/4/25,09:30:00,28.65,28.7,28.6,28.7,1325
2019/4/25,09:45:00,28.7,28.7,28.6,28.65,823
2019/4/25,10:00:00,28.65,28.7,28.65,28.65,270
2019/4/25,10:15:00,28.65,28.7,28.65,28.7,219
2019/4/25,10:30:00,28.7,28.7,28.65,28.65,209
2019/4/25,10:45:00,28.7,28.7,28.6,28.65,632
2019/4/25,11:00:00,28.65,28.65,28.6,28.65,234
2019/4/25,11:15:00,28.65,28.65,28.6,28.6,286
2019/4/25,11:30:00,28.65,28.65,28.6,28.65,415
2019/4/25,11:45:00,28.65,28.7,28.6,28.65,722
2019/4/25,12:00:00,28.7,28.7,28.65,28.7,708
2019/4/25,12:15:00,28.7,28.7,28.65,28.7,826
2019/4/25,12:30:00,28.7,28.75,28.65,28.7,1293
2019/4/25,12:45:00,28.7,28.75,28.7,28.75,769
2019/4/25,13:00:00,28.75,28.8,28.7,28.75,1265
2019/4/25,13:15:00,28.75,28.8,28.75,28.75,2356
2019/4/26,09:00:00,28.75,28.75,28.7,28.75,1071
2019/4/26,09:15:00,28.75,28.8,28.7,28.8,1123
2019/4/26,09:30:00,28.8,28.85,28.75,28.8,1111
2019/4/26,09:45:00,28.8,28.85,28.75,28.85,743
2019/4/26,10:00:00,28.85,28.85,28.8,28.85,402
2019/4/26,10:15:00,28.85,28.85,28.8,28.85,367
2019/4/26,10:30:00,28.85,28.85,28.8,28.85,409
2019/4/26,10:45:00,28.85,28.9,28.8,28.9,1149
2019/4/26,11:00:00,28.9,28.9,28.85,28.85,631
2019/4/26,11:15:00,28.9,28.9,28.85,28.9,490
2019/4/26,11:30:00,28.9,28.9,28.85,28.9,551
2019/4/26,11:45:00,28.9,28.9,28.85,28.9,564
2019/4/26,12:00:00,28.85,28.9,28.8,28.8,1110
2019/4/26,12:15:00,28.85,28.9,28.8,28.9,866
2019/4/26,12:30:00,28.9,28.9,28.85,28.9,293
2019/4/26,12:45:00,28.9,28.9,28.85,28.85,484
2019/4/26,13:00:00,28.85,28.9,28.8,28.85,852
2019/4/26,13:15:00,28.85,28.95,28.8,28.95,3058
2019/4/29,09:00:00,28.95,29.15,28.95,29.1,2337
2019/4/29,09:15:00,29.15,29.3,29.15,29.25,1426
2019/4/29,09:30:00,29.25,29.3,29.2,29.25,961
2019/4/29,09:45:00,29.25,29.25,29.2,29.2,1087
2019/4/29,10:00:00,29.2,29.25,29.2,29.2,503
2019/4/29,10:15:00,29.25,29.25,29.15,29.15,1191
2019/4/29,10:30:00,29.15,29.2,29.15,29.15,474
2019/4/29,10:45:00,29.15,29.2,29.1,29.15,1604
2019/4/29,11:00:00,29.15,29.2,29.15,29.2,348
2019/4/29,11:15:00,29.15,29.25,29.15,29.25,1211
2019/4/29,11:30:00,29.25,29.3,29.25,29.3,905
2019/4/29,11:45:00,29.25,29.3,29.2,29.25,409
2019/4/29,12:00:00,29.25,29.25,29.15,29.2,1406
2019/4/29,12:15:00,29.2,29.3,29.2,29.2,812
2019/4/29,12:30:00,29.25,29.3,29.25,29.3,1435
2019/4/29,12:45:00,29.3,29.35,29.25,29.3,1184
2019/4/29,13:00:00,29.3,29.35,29.25,29.25,749
2019/4/29,13:15:00,29.25,29.35,29.25,29.35,2207
2019/4/30,09:00:00,29.35,29.35,29.3,29.35,1220
2019/4/30,09:15:00,29.3,29.45,29.3,29.4,1109
2019/4/30,09:30:00,29.4,29.45,29.4,29.45,1007
2019/4/30,09:45:00,29.4,29.45,29.35,29.4,931
2019/4/30,10:00:00,29.35,29.4,29.35,29.35,474
2019/4/30,10:15:00,29.35,29.4,29.35,29.35,570
2019/4/30,10:30:00,29.35,29.4,29.35,29.35,763
2019/4/30,10:45:00,29.35,29.45,29.35,29.4,1703
2019/4/30,11:00:00,29.45,29.45,29.35,29.45,691
2019/4/30,11:15:00,29.45,29.45,29.4,29.45,562
2019/4/30,11:30:00,29.45,29.45,29.35,29.4,672
2019/4/30,11:45:00,29.4,29.5,29.35,29.5,1513
2019/4/30,12:00:00,29.5,29.5,29.45,29.5,598
2019/4/30,12:15:00,29.5,29.6,29.45,29.6,3539
2019/4/30,12:30:00,29.6,29.6,29.5,29.55,2190
2019/4/30,12:45:00,29.55,29.55,29.45,29.45,1603
2019/4/30,13:00:00,29.5,29.55,29.45,29.55,1030
2019/4/30,13:15:00,29.5,29.65,29.5,29.65,5717
2019/5/2,09:00:00,29.6,29.8,29.55,29.8,2756
2019/5/2,09:15:00,29.8,29.95,29.8,29.9,2792
2019/5/2,09:30:00,29.95,29.95,29.85,29.9,1752
2019/5/2,09:45:00,29.9,30,29.9,29.95,3752
2019/5/2,10:00:00,29.95,30,29.95,30,994
2019/5/2,10:15:00,30,30,29.95,29.95,1094
2019/5/2,10:30:00,29.95,30,29.95,30,1648
2019/5/2,10:45:00,29.95,30,29.95,30,1318
2019/5/2,11:00:00,29.95,30,29.95,30,1289
2019/5/2,11:15:00,30,30.15,29.95,30.15,5362
2019/5/2,11:30:00,30.15,30.15,30.1,30.15,2149
2019/5/2,11:45:00,30.1,30.15,30.1,30.15,1590
2019/5/2,12:00:00,30.1,30.15,30.1,30.1,1550
2019/5/2,12:15:00,30.15,30.15,30.1,30.15,1592
2019/5/2,12:30:00,30.15,30.2,30.1,30.15,2121
2019/5/2,12:45:00,30.15,30.15,30,30.1,2637
