ら戳,丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
2019/4/25,09:00:00,77.6,77.9,77.5,77.9,437
2019/4/25,09:15:00,77.9,78,77.8,77.8,297
2019/4/25,09:30:00,77.8,77.9,77.8,77.9,49
2019/4/25,09:45:00,77.9,78,77.8,77.9,346
2019/4/25,10:00:00,78,78,77.9,78,291
2019/4/25,10:15:00,78,78,77.9,77.9,145
2019/4/25,10:30:00,77.9,78,77.9,78,125
2019/4/25,10:45:00,77.9,78,77.9,77.9,134
2019/4/25,11:00:00,77.9,78,77.8,77.8,104
2019/4/25,11:15:00,77.8,77.9,77.8,77.8,41
2019/4/25,11:30:00,77.8,77.9,77.8,77.9,107
2019/4/25,11:45:00,77.9,77.9,77.8,77.9,162
2019/4/25,12:00:00,77.8,77.9,77.8,77.9,160
2019/4/25,12:15:00,77.9,78,77.8,78,179
2019/4/25,12:30:00,77.9,78,77.9,78,112
2019/4/25,12:45:00,77.9,78,77.9,77.9,146
2019/4/25,13:00:00,78,78,77.9,77.9,149
2019/4/25,13:15:00,77.9,78,77.8,78,512
2019/4/26,09:00:00,78,78,77.8,77.9,432
2019/4/26,09:15:00,77.9,78,77.9,77.9,95
2019/4/26,09:30:00,77.9,78,77.9,77.9,176
2019/4/26,09:45:00,77.9,77.9,77.8,77.9,138
2019/4/26,10:00:00,77.9,77.9,77.8,77.9,93
2019/4/26,10:15:00,77.8,78,77.8,77.9,171
2019/4/26,10:30:00,78,78,77.9,77.9,43
2019/4/26,10:45:00,77.9,78,77.9,78,68
2019/4/26,11:00:00,77.9,78,77.9,78,55
2019/4/26,11:15:00,77.9,78,77.9,77.9,136
2019/4/26,11:30:00,78,78,77.9,78,125
2019/4/26,11:45:00,77.9,78,77.9,77.9,151
2019/4/26,12:00:00,77.9,78,77.9,77.9,337
2019/4/26,12:15:00,77.9,78,77.9,77.9,250
2019/4/26,12:30:00,77.9,78,77.9,78,81
2019/4/26,12:45:00,77.9,78,77.9,77.9,144
2019/4/26,13:00:00,78,78,77.9,77.9,197
2019/4/26,13:15:00,78,78.3,77.9,78.3,1356
2019/4/29,09:00:00,78,78.2,77.6,77.7,1834
2019/4/29,09:15:00,77.7,78.1,77.7,78,341
2019/4/29,09:30:00,78,78.1,78,78,162
2019/4/29,09:45:00,78.1,78.2,77.9,78,258
2019/4/29,10:00:00,78,78.1,77.9,78.1,273
2019/4/29,10:15:00,78.1,78.1,77.9,78,201
2019/4/29,10:30:00,77.9,78,77.9,77.9,92
2019/4/29,10:45:00,78,78,77.9,78,276
2019/4/29,11:00:00,77.9,78,77.9,77.9,96
2019/4/29,11:15:00,78,78,77.9,77.9,89
2019/4/29,11:30:00,77.9,78,77.9,77.9,115
2019/4/29,11:45:00,77.9,78,77.9,77.9,139
2019/4/29,12:00:00,77.9,78,77.9,78,152
2019/4/29,12:15:00,77.9,78,77.9,78,212
2019/4/29,12:30:00,77.9,78,77.9,77.9,160
2019/4/29,12:45:00,78,78,77.9,77.9,244
2019/4/29,13:00:00,77.9,78,77.8,77.9,426
2019/4/29,13:15:00,77.9,78,77.9,78,777
2019/4/30,09:00:00,78,78.1,77.9,78.1,168
2019/4/30,09:15:00,78,78.1,77.9,77.9,365
2019/4/30,09:30:00,77.9,78,77.8,77.9,533
2019/4/30,09:45:00,77.9,78.1,77.9,78,278
2019/4/30,10:00:00,78,78.1,78,78,186
2019/4/30,10:15:00,78,78.1,77.9,78,353
2019/4/30,10:30:00,78,78,78,78,102
2019/4/30,10:45:00,78,78.2,78,78.1,202
2019/4/30,11:00:00,78.1,78.2,78,78,124
2019/4/30,11:15:00,78.1,78.1,78,78,75
2019/4/30,11:30:00,78.1,78.1,78,78.1,109
2019/4/30,11:45:00,78.1,78.2,78,78.2,147
2019/4/30,12:00:00,78.1,78.2,78.1,78.1,162
2019/4/30,12:15:00,78.1,78.2,78.1,78.2,103
2019/4/30,12:30:00,78.1,78.2,78.1,78.1,99
2019/4/30,12:45:00,78.1,78.2,78.1,78.2,165
