ら戳,丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
2019/4/25,09:00:00,284.5,285.5,284.5,285.5,78
2019/4/25,09:15:00,285.5,285.5,285,285.5,31
2019/4/25,09:30:00,285,285.5,285,285.5,17
2019/4/25,09:45:00,285.5,285.5,285,285,6
2019/4/25,10:00:00,285,285,285,285,12
2019/4/25,10:15:00,285,285,285,285,20
2019/4/25,10:30:00,285,285.5,285,285,18
2019/4/25,10:45:00,285,285,284,284,149
2019/4/25,11:00:00,284,284.5,284,284,46
2019/4/25,11:15:00,284,285,284,285,74
2019/4/25,11:30:00,285,285,284.5,285,41
2019/4/25,11:45:00,285,285.5,284.5,285.5,40
2019/4/25,12:00:00,285.5,285.5,285,285,4
2019/4/25,12:15:00,285,285.5,285,285.5,20
2019/4/25,12:30:00,285,285.5,285,285,24
2019/4/25,12:45:00,285,285.5,285,285,36
2019/4/25,13:00:00,285,285.5,284.5,284.5,71
2019/4/25,13:15:00,284.5,285.5,284,284,240
2019/4/26,09:00:00,282.5,284,282.5,284,134
2019/4/26,09:15:00,284,284,283,283,33
2019/4/26,09:30:00,283,283.5,283,283,34
2019/4/26,09:45:00,283.5,283.5,282.5,283,37
2019/4/26,10:00:00,283,283,282.5,283,52
2019/4/26,10:15:00,282.5,283,282.5,282.5,14
2019/4/26,10:30:00,283,283,282.5,283,24
2019/4/26,10:45:00,283,283,282.5,283,22
2019/4/26,11:00:00,283,283,282.5,282.5,19
2019/4/26,11:15:00,283,283,282.5,282.5,26
2019/4/26,11:30:00,283,283,282.5,283,13
2019/4/26,11:45:00,282.5,283,282.5,282.5,31
2019/4/26,12:00:00,283,283,282.5,283,21
2019/4/26,12:15:00,283,283,282.5,282.5,25
2019/4/26,12:30:00,283,283,282.5,282.5,25
2019/4/26,12:45:00,283,283,282.5,283,27
2019/4/26,13:00:00,283,283,282.5,282.5,58
2019/4/26,13:15:00,282.5,284,282,284,206
2019/4/29,09:00:00,283.5,285,283.5,284,43
2019/4/29,09:15:00,284,284.5,283.5,283.5,21
2019/4/29,09:30:00,283,285.5,283,285,93
2019/4/29,09:45:00,284.5,285.5,284.5,284.5,44
2019/4/29,10:00:00,285,285.5,284.5,284.5,33
2019/4/29,10:15:00,285,285.5,285,285,14
2019/4/29,10:30:00,285,285.5,285,285,21
2019/4/29,10:45:00,285,285.5,284.5,284.5,26
2019/4/29,11:00:00,284.5,285,284.5,284.5,17
2019/4/29,11:15:00,284.5,285,284.5,285,38
2019/4/29,11:30:00,284.5,285,284.5,284.5,26
2019/4/29,11:45:00,284.5,285,284.5,284.5,26
2019/4/29,12:00:00,284.5,285,284.5,285,36
2019/4/29,12:15:00,284.5,285,284.5,284.5,18
2019/4/29,12:30:00,284.5,285,284.5,284.5,25
2019/4/29,12:45:00,284.5,285,284,284.5,98
2019/4/29,13:00:00,284.5,284.5,284,284,43
2019/4/29,13:15:00,284,284.5,284,284,120
2019/4/30,09:00:00,285,285,284,285,77
2019/4/30,09:15:00,285,285.5,284.5,285,67
2019/4/30,09:30:00,285,285,284.5,284.5,46
2019/4/30,09:45:00,285,285,284,284.5,64
2019/4/30,10:00:00,284.5,285,284.5,284.5,29
2019/4/30,10:15:00,284.5,285,284.5,284.5,31
2019/4/30,10:30:00,284.5,285,284.5,284.5,42
2019/4/30,10:45:00,284.5,285,284.5,284.5,45
2019/4/30,11:00:00,284.5,285,284.5,285,22
2019/4/30,11:15:00,285,285,284.5,284.5,33
2019/4/30,11:30:00,285,285,284.5,285,47
2019/4/30,11:45:00,285,285.5,284.5,285.5,79
2019/4/30,12:00:00,285,286,285,285.5,150
2019/4/30,12:15:00,285.5,286,285.5,285.5,53
2019/4/30,12:30:00,285.5,288,285.5,287.5,194
2019/4/30,12:45:00,287.5,288,287.5,288,127
2019/4/30,13:00:00,288,290,287.5,290,267
2019/4/30,13:15:00,290,290,287.5,288,723
2019/5/2,09:00:00,295,299,293,298,1066
2019/5/2,09:15:00,298,298,296,296,127
2019/5/2,09:30:00,296.5,297,295.5,295.5,91
2019/5/2,09:45:00,295.5,296,295.5,295.5,33
2019/5/2,10:00:00,295.5,296.5,295.5,296.5,86
2019/5/2,10:15:00,296,296.5,296,296,29
2019/5/2,10:30:00,296,296.5,296,296,48
2019/5/2,10:45:00,296,297,296,297,71
2019/5/2,11:00:00,297,297,296.5,296.5,36
2019/5/2,11:15:00,296.5,297.5,296.5,297,83
2019/5/2,11:30:00,297,297.5,297,297.5,63
2019/5/2,11:45:00,297.5,298,297,298,63
2019/5/2,12:00:00,298,298,297.5,298,81
2019/5/2,12:15:00,298,298,297.5,298,48
2019/5/2,12:30:00,297.5,298,297.5,298,72
2019/5/2,12:45:00,298,298.5,297,297,235
2019/5/2,13:00:00,297,297.5,297,297.5,77
2019/5/2,13:15:00,297.5,298,297,298,230
2019/5/3,09:00:00,298.5,302.5,298.5,300.5,555
2019/5/3,09:15:00,301,301,300,300.5,98
2019/5/3,09:30:00,300,300.5,299.5,299.5,202
2019/5/3,09:45:00,299.5,299.5,299,299,79
2019/5/3,10:00:00,299.5,300,299.5,300,80
2019/5/3,10:15:00,300,300.5,299.5,300.5,191
2019/5/3,10:30:00,300,300.5,300,300.5,57
2019/5/3,10:45:00,300.5,300.5,300,300.5,41
2019/5/3,11:00:00,300,300.5,300,300,52
2019/5/3,11:15:00,300,300.5,300,300.5,31
2019/5/3,11:30:00,300.5,300.5,300,300,73
2019/5/3,11:45:00,300,300.5,299.5,299.5,176
2019/5/3,12:00:00,299.5,299.5,299,299,69
2019/5/3,12:15:00,299.5,299.5,299,299,46
2019/5/3,12:30:00,299.5,299.5,299,299.5,54
2019/5/3,12:45:00,299,299.5,299,299,53
2019/5/3,13:00:00,299,299.5,299,299.5,78
2019/5/3,13:15:00,299,299.5,299,299,219
2019/5/6,09:00:00,299,300,299,299.5,530
2019/5/6,09:15:00,299,299.5,298.5,299.5,209
2019/5/6,09:30:00,299,299.5,299,299,150
2019/5/6,09:45:00,298.5,299,298,298.5,131
2019/5/6,10:00:00,298.5,299,298,298.5,185
2019/5/6,10:15:00,299,299,298,298,87
2019/5/6,10:30:00,298.5,298.5,298,298,148
2019/5/6,10:45:00,298,298.5,298,298.5,193
2019/5/6,11:00:00,298,298.5,298,298,69
2019/5/6,11:15:00,298.5,298.5,298,298,84
2019/5/6,11:30:00,298,298.5,298,298.5,142
2019/5/6,11:45:00,298.5,299,298.5,299,74
2019/5/6,12:00:00,298.5,299,298.5,298.5,66
2019/5/6,12:15:00,298.5,299,298.5,298.5,50
2019/5/6,12:30:00,298.5,298.5,298,298,62
2019/5/6,12:45:00,298.5,298.5,297.5,298,173
2019/5/6,13:00:00,298,298.5,298,298,118
2019/5/6,13:15:00,297.5,298.5,297.5,298,194
2019/5/7,09:00:00,298,299.5,298,298.5,127
2019/5/7,09:15:00,298.5,299,298.5,298.5,49
2019/5/7,09:30:00,298.5,298.5,298.5,298.5,16
2019/5/7,09:45:00,299,299,298.5,299,33
2019/5/7,10:00:00,299,299,298.5,298.5,24
2019/5/7,10:15:00,299,299,298.5,298.5,15
2019/5/7,10:30:00,299,299,298.5,298.5,30
2019/5/7,10:45:00,299,299,298.5,299,17
2019/5/7,11:00:00,298.5,299.5,298.5,299.5,142
2019/5/7,11:15:00,299,299.5,299,299.5,25
2019/5/7,11:30:00,299.5,299.5,299,299,60
2019/5/7,11:45:00,299,299,298.5,298.5,44
2019/5/7,12:00:00,298.5,299,298.5,298.5,9
2019/5/7,12:15:00,298.5,299,298.5,299,21
2019/5/7,12:30:00,298.5,299,298.5,299,93
2019/5/7,12:45:00,299,299,298.5,299,48
2019/5/7,13:00:00,299,299.5,298.5,299,88
2019/5/7,13:15:00,299.5,299.5,298.5,298.5,239
2019/5/8,09:00:00,297,298,296,297,172
2019/5/8,09:15:00,297.5,299,297,299,105
2019/5/8,09:30:00,299,299,298,298,58
2019/5/8,09:45:00,298,298.5,298,298,26
2019/5/8,10:00:00,298,298,297.5,298,52
2019/5/8,10:15:00,297.5,298.5,297.5,298.5,85
2019/5/8,10:30:00,298.5,298.5,298,298.5,27
2019/5/8,10:45:00,298,298.5,298,298.5,26
2019/5/8,11:00:00,298,298.5,298,298.5,36
2019/5/8,11:15:00,298.5,298.5,298,298.5,61
2019/5/8,11:30:00,298,298.5,298,298,22
2019/5/8,11:45:00,298,298.5,298,298,58
2019/5/8,12:00:00,298,298.5,298,298,43
2019/5/8,12:15:00,298,298.5,298,298,38
2019/5/8,12:30:00,298,298.5,298,298,53
2019/5/8,12:45:00,298.5,298.5,298,298,50
2019/5/8,13:00:00,298,298.5,298,298,92
2019/5/8,13:15:00,298,298.5,297.5,297.5,429
2019/5/9,09:00:00,293.5,295,292,292,445
2019/5/9,09:15:00,292,292.5,291.5,292.5,178
2019/5/9,09:30:00,292.5,294,292,292.5,124
2019/5/9,09:45:00,294,294,292,292.5,125
2019/5/9,10:00:00,293,293,291.5,292,130
2019/5/9,10:15:00,292,292.5,291.5,292,174
2019/5/9,10:30:00,292,292.5,292,292.5,56
2019/5/9,10:45:00,292.5,292.5,292,292.5,138
2019/5/9,11:00:00,292.5,292.5,292,292,27
2019/5/9,11:15:00,292,292.5,292,292,34
2019/5/9,11:30:00,292,292.5,291,292,346
2019/5/9,11:45:00,291.5,292,291.5,292,30
2019/5/9,12:00:00,291.5,292,291,291.5,101
2019/5/9,12:15:00,291,291.5,291,291,64
2019/5/9,12:30:00,291,291.5,290.5,290.5,140
2019/5/9,12:45:00,290.5,292,290,292,182
2019/5/9,13:00:00,292.5,292.5,291,291,136
2019/5/9,13:15:00,291,291.5,290.5,290.5,418
2019/5/10,09:00:00,295.5,299,295,298.5,497
2019/5/10,09:15:00,298,299,297,299,213
2019/5/10,09:30:00,299,300,298.5,299,337
2019/5/10,09:45:00,299,299.5,299,299.5,51
2019/5/10,10:00:00,299.5,299.5,299,299,61
2019/5/10,10:15:00,299,299.5,299,299.5,66
2019/5/10,10:30:00,299.5,300,299,299.5,196
2019/5/10,10:45:00,299.5,300,299,299,147
2019/5/10,11:00:00,299,299.5,298.5,299,211
2019/5/10,11:15:00,299,299,298,299,165
2019/5/10,11:30:00,299,299.5,299,299.5,106
2019/5/10,11:45:00,299,300,299,299.5,195
2019/5/10,12:00:00,299.5,300,299.5,299.5,70
2019/5/10,12:15:00,299.5,300,299,299,136
2019/5/10,12:30:00,299,299.5,299,299,134
2019/5/10,12:45:00,299,300,299,300,196
2019/5/10,13:00:00,299.5,300,299.5,300,187
2019/5/10,13:15:00,299.5,300,299,299,384
2019/5/13,09:00:00,299.5,301,299,300,191
2019/5/13,09:15:00,300,301,300,300,74
2019/5/13,09:30:00,300,300.5,299,299.5,62
2019/5/13,09:45:00,300,300.5,299.5,300,69
2019/5/13,10:00:00,300,300.5,300,300,71
2019/5/13,10:15:00,300,300,299.5,299.5,58
2019/5/13,10:30:00,300,300,299,300,74
2019/5/13,10:45:00,299.5,300,299.5,300,79
2019/5/13,11:00:00,300,300,299.5,299.5,35
2019/5/13,11:15:00,299.5,300,299.5,300,39
2019/5/13,11:30:00,299.5,300,299.5,299.5,34
2019/5/13,11:45:00,299.5,300,299.5,299.5,39
2019/5/13,12:00:00,299.5,300,299.5,300,32
2019/5/13,12:15:00,299.5,300,299.5,300,76
2019/5/13,12:30:00,299.5,300,299.5,300,21
2019/5/13,12:45:00,299.5,300.5,299.5,300,111
2019/5/13,13:00:00,300.5,300.5,299.5,299.5,69
2019/5/13,13:15:00,300,300,299.5,300,146
2019/5/14,09:00:00,296.5,298,295,297.5,290
2019/5/14,09:15:00,297,298,296.5,297,120
2019/5/14,09:30:00,297,298,297,297.5,55
2019/5/14,09:45:00,297.5,298,297.5,297.5,70
2019/5/14,10:00:00,297.5,298,297,298,76
2019/5/14,10:15:00,298,298.5,297.5,298.5,93
2019/5/14,10:30:00,298.5,298.5,298,298.5,38
2019/5/14,10:45:00,298.5,298.5,298,298.5,59
2019/5/14,11:00:00,298,298.5,298,298.5,46
2019/5/14,11:15:00,298.5,298.5,298,298.5,102
2019/5/14,11:30:00,298.5,298.5,298,298.5,30
2019/5/14,11:45:00,298.5,298.5,298,298.5,38
2019/5/14,12:00:00,298,298.5,298,298.5,69
2019/5/14,12:15:00,298.5,298.5,298,298,93
2019/5/14,12:30:00,298,298.5,298,298,75
2019/5/14,12:45:00,298,298,298,298,73
2019/5/14,13:00:00,298,298.5,297.5,298,101
2019/5/14,13:15:00,298.5,298.5,297.5,297.5,311
2019/5/15,09:00:00,299.5,300,299,299.5,103
2019/5/15,09:15:00,299.5,299.5,299,299,26
2019/5/15,09:30:00,299,299.5,299,299,15
