ら戳,丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
2019/4/25,09:00:00,71.7,72.9,71.7,72.3,454
2019/4/25,09:15:00,72.3,72.5,72.2,72.3,221
2019/4/25,09:30:00,72.3,72.4,72.2,72.4,224
2019/4/25,09:45:00,72.4,73,72.3,72.9,310
2019/4/25,10:00:00,72.9,73.2,72.9,73.2,405
2019/4/25,10:15:00,73.1,73.3,73,73.2,406
2019/4/25,10:30:00,73.2,74,73.1,74,699
2019/4/25,10:45:00,74,74.4,73.8,74.4,765
2019/4/25,11:00:00,74.3,74.6,74.3,74.6,682
2019/4/25,11:15:00,74.5,74.6,74.3,74.6,910
2019/4/25,11:30:00,74.5,74.7,74.4,74.5,522
2019/4/25,11:45:00,74.5,74.7,74.4,74.5,554
2019/4/25,12:00:00,74.5,74.5,74,74.2,785
2019/4/25,12:15:00,74.1,74.4,74,74.3,624
2019/4/25,12:30:00,74.3,74.5,74.2,74.4,581
2019/4/25,12:45:00,74.4,74.5,74.3,74.4,557
2019/4/25,13:00:00,74.4,74.4,73.4,73.7,904
2019/4/25,13:15:00,73.7,73.7,73.4,73.6,446
2019/4/26,09:00:00,73,73.4,72.5,73.3,437
2019/4/26,09:15:00,73.1,73.4,72.9,72.9,168
2019/4/26,09:30:00,72.9,73.1,72.8,72.8,289
2019/4/26,09:45:00,72.9,73,72.9,73,188
2019/4/26,10:00:00,73.1,73.1,72.9,73,172
2019/4/26,10:15:00,73.1,73.6,73,73.5,232
2019/4/26,10:30:00,73.6,73.7,73.5,73.6,274
2019/4/26,10:45:00,73.7,73.8,73.6,73.7,316
2019/4/26,11:00:00,73.8,74,73.7,73.9,499
2019/4/26,11:15:00,73.9,74,73.6,73.7,466
2019/4/26,11:30:00,73.7,73.7,73.3,73.6,477
2019/4/26,11:45:00,73.7,73.7,73.5,73.6,252
2019/4/26,12:00:00,73.7,73.7,73.4,73.4,294
2019/4/26,12:15:00,73.5,73.5,73.4,73.4,183
2019/4/26,12:30:00,73.5,73.5,73.4,73.5,222
2019/4/26,12:45:00,73.5,73.5,73,73,656
2019/4/26,13:00:00,73.1,73.2,72.7,73.1,782
