ら戳,丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
2019/4/24,09:00:00,270,270,268,269,6513
2019/4/24,09:15:00,268.5,269.5,268.5,269,1863
2019/4/24,09:30:00,269.5,269.5,269,269,782
2019/4/24,09:45:00,269,269.5,268.5,268.5,816
2019/4/24,10:00:00,268.5,269,268.5,269,809
2019/4/24,10:15:00,269,269,268.5,268.5,434
2019/4/24,10:30:00,268.5,269,268.5,269,1149
2019/4/24,10:45:00,269,269,268.5,268.5,887
2019/4/24,11:00:00,268.5,269,268,268,753
2019/4/24,11:15:00,268,268.5,268,268,457
2019/4/24,11:30:00,268,268.5,268,268,615
2019/4/24,11:45:00,268,268.5,268,268,618
2019/4/24,12:00:00,268,268.5,267.5,268,1694
2019/4/24,12:15:00,268,268.5,267.5,267.5,746
2019/4/24,12:30:00,267.5,268,267.5,268,519
2019/4/24,12:45:00,267.5,268,267.5,268,465
2019/4/24,13:00:00,267.5,268,267.5,267.5,910
2019/4/24,13:15:00,267.5,269,267.5,269,6361
2019/4/25,09:00:00,268.5,269,268,268.5,6002
2019/4/25,09:15:00,268,268.5,267.5,268,2046
2019/4/25,09:30:00,268,268.5,268,268.5,445
2019/4/25,09:45:00,268.5,268.5,268,268,1037
2019/4/25,10:00:00,268,268.5,268,268,2144
2019/4/25,10:15:00,268,268.5,267.5,267.5,1372
2019/4/25,10:30:00,268,268,267,267,1677
2019/4/25,10:45:00,267,268,267,268,848
2019/4/25,11:00:00,267.5,268,267.5,267.5,364
2019/4/25,11:15:00,268,268,267.5,268,727
2019/4/25,11:30:00,267.5,268,267.5,267.5,792
2019/4/25,11:45:00,268,268.5,267.5,268,2541
2019/4/25,12:00:00,268,268.5,268,268,867
2019/4/25,12:15:00,268,268.5,268,268.5,1334
2019/4/25,12:30:00,268.5,268.5,267.5,268,1202
2019/4/25,12:45:00,267.5,268,267.5,268,705
2019/4/25,13:00:00,267.5,268,267,267.5,2324
2019/4/25,13:15:00,267,268,267,267.5,5917
2019/4/26,09:00:00,262,263,261,262,7305
2019/4/26,09:15:00,261.5,262,261,261.5,3897
2019/4/26,09:30:00,261.5,261.5,260.5,261,2030
2019/4/26,09:45:00,261,261,260.5,260.5,964
2019/4/26,10:00:00,261,261,260.5,261,693
2019/4/26,10:15:00,260.5,261,260.5,260.5,939
2019/4/26,10:30:00,260.5,261,260,260,2009
2019/4/26,10:45:00,260,260.5,260,260,816
2019/4/26,11:00:00,260.5,260.5,259,259,5491
2019/4/26,11:15:00,259,259.5,257.5,258.5,4260
2019/4/26,11:30:00,258.5,260,258.5,259.5,955
2019/4/26,11:45:00,259.5,260,258,258.5,1892
2019/4/26,12:00:00,258,258.5,258,258,1278
2019/4/26,12:15:00,258,259.5,258,259.5,1817
2019/4/26,12:30:00,259,259.5,258.5,258.5,1865
2019/4/26,12:45:00,258.5,259.5,258.5,259,1138
2019/4/26,13:00:00,259.5,260,259,259.5,2376
2019/4/26,13:15:00,260,260,259,260,7724
2019/4/29,09:00:00,260,260,259,259.5,4206
2019/4/29,09:15:00,259.5,262,259.5,260,2898
2019/4/29,09:30:00,260.5,260.5,259.5,260,1557
2019/4/29,09:45:00,260,260,259,259.5,1048
2019/4/29,10:00:00,259.5,260,259.5,259.5,1144
2019/4/29,10:15:00,259.5,260,259.5,259.5,1355
2019/4/29,10:30:00,260,260,259.5,259.5,503
2019/4/29,10:45:00,259.5,260,259,259.5,1218
2019/4/29,11:00:00,259.5,259.5,259,259.5,666
2019/4/29,11:15:00,259,259.5,259,259,488
2019/4/29,11:30:00,259,259.5,259,259,506
2019/4/29,11:45:00,259,260,259,259.5,1792
2019/4/29,12:00:00,259.5,260,259.5,260,719
2019/4/29,12:15:00,259.5,260,259.5,259.5,1873
2019/4/29,12:30:00,259.5,259.5,259,259,522
2019/4/29,12:45:00,259.5,260,259,260,2724
2019/4/29,13:00:00,259.5,260,258.5,258.5,3063
2019/4/29,13:15:00,258.5,259.5,258.5,259.5,4791
2019/4/30,09:00:00,260,260,259.5,260,2976
2019/4/30,09:15:00,259.5,260,259.5,259.5,841
