,日期,時間,outlier
187,2019/5/13,12:00:00,False
188,2019/5/13,12:15:00,False
189,2019/5/13,12:30:00,False
190,2019/5/13,12:45:00,False
191,2019/5/13,13:00:00,False
192,2019/5/14,09:15:00,False
193,2019/5/14,09:30:00,False
194,2019/5/14,09:45:00,False
195,2019/5/14,10:00:00,False
196,2019/5/14,10:15:00,False
197,2019/5/14,10:30:00,False
198,2019/5/14,10:45:00,False
199,2019/5/14,11:00:00,False
200,2019/5/14,11:15:00,False
201,2019/5/14,11:30:00,False
202,2019/5/14,11:45:00,False
203,2019/5/14,12:00:00,False
204,2019/5/14,12:15:00,False
205,2019/5/14,12:30:00,False
206,2019/5/14,12:45:00,False
207,2019/5/14,13:00:00,False
208,2019/5/15,09:15:00,False
209,2019/5/15,09:30:00,False
210,2019/5/15,09:45:00,False
211,2019/5/15,10:00:00,False
212,2019/5/15,10:15:00,False
213,2019/5/15,10:30:00,False
214,2019/5/15,10:45:00,False
215,2019/5/15,11:00:00,False
216,2019/5/15,11:15:00,False
217,2019/5/15,11:30:00,False
218,2019/5/15,11:45:00,False
219,2019/5/15,12:00:00,False
220,2019/5/15,12:15:00,False
221,2019/5/15,12:30:00,False
222,2019/5/15,12:45:00,False
223,2019/5/15,13:00:00,False
224,2019/5/16,09:15:00,False
225,2019/5/16,09:30:00,False
226,2019/5/16,09:45:00,False
227,2019/5/16,10:00:00,False
228,2019/5/16,10:15:00,False
229,2019/5/16,10:30:00,False
230,2019/5/16,10:45:00,False
231,2019/5/16,11:00:00,False
232,2019/5/16,11:15:00,False
233,2019/5/16,11:30:00,False
234,2019/5/16,11:45:00,False
235,2019/5/16,12:00:00,False
236,2019/5/16,12:15:00,False
237,2019/5/16,12:30:00,False
238,2019/5/16,12:45:00,False
239,2019/5/16,13:00:00,False
240,2019/5/17,09:15:00,False
241,2019/5/17,09:30:00,False
242,2019/5/17,09:45:00,False
243,2019/5/17,10:00:00,False
244,2019/5/17,10:15:00,False
245,2019/5/17,10:30:00,False
246,2019/5/17,10:45:00,False
247,2019/5/17,11:00:00,False
248,2019/5/17,11:15:00,False
249,2019/5/17,11:30:00,False
250,2019/5/17,11:45:00,False
251,2019/5/17,12:00:00,False
252,2019/5/17,12:15:00,False
253,2019/5/17,12:30:00,False
254,2019/5/17,12:45:00,False
255,2019/5/17,13:00:00,False
256,2019/5/20,09:15:00,False
257,2019/5/20,09:30:00,False
258,2019/5/20,09:45:00,False
259,2019/5/20,10:00:00,False
260,2019/5/20,10:15:00,False
261,2019/5/20,10:30:00,False
262,2019/5/20,10:45:00,False
263,2019/5/20,11:00:00,False
264,2019/5/20,11:15:00,False
265,2019/5/20,11:30:00,False
266,2019/5/20,11:45:00,False
267,2019/5/20,12:00:00,False
268,2019/5/20,12:15:00,False
269,2019/5/20,12:30:00,False
270,2019/5/20,12:45:00,False
271,2019/5/20,13:00:00,False
272,2019/5/21,09:15:00,False
273,2019/5/21,09:30:00,True
